name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Dominican University,Illinois,IL,Private,4 Year,10241,33434,43675,33434,43675
Dominican University of California,California,CA,Private,4 Year,14810,45850,60660,45850,60660
Dordt College,Iowa,IA,Private,4 Year,9590,30870,40460,30870,40460
Drake University,Iowa,IA,Private,4 Year,10528,41396,51924,41396,51924
Drew University,New Jersey,NJ,Private,4 Year,14108,39500,53608,39500,53608
Drexel University,Pennsylvania,PA,Private,4 Year,14079,53279,67358,53279,67358
Drury University,Missouri,MO,Private,4 Year,8096,28365,36461,28365,36461
Duke University,North Carolina,NC,Private,4 Year,15178,55695,70873,55695,70873
Duquesne University,Pennsylvania,PA,Private,4 Year,12586,38178,50764,38178,50764
Earlham College,Indiana,IN,Private,4 Year,10400,46450,56850,46450,56850
East Carolina University,North Carolina,NC,Public,4 Year,9606,7188,16794,23465,33071
East Central University,Oklahoma,OK,Public,4 Year,5514,6810,12324,17700,23214
East Stroudsburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9700,11084,20784,23516,33216
East Tennessee State University,Tennessee,TN,Public,4 Year,8472,9277,17749,28459,36931
East Texas Baptist University,Texas,TX,Private,4 Year,9079,26370,35449,26370,35449
Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560,11356,24916,22596,36156
Eastern Illinois University,Illinois,IL,Public,4 Year,9882,11803,21685,14023,23905
Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018,9296,18314,19074,28092
Eastern Mennonite University,Virginia,VA,Private,4 Year,11160,37100,48260,37100,48260
Eastern Michigan University,Michigan,MI,Public,4 Year,9854,13959,23813,13959,23813
Eastern Nazarene College,Massachusetts,MA,Private,4 Year,9624,25598,35222,25598,35222
Eastern New Mexico University,New Mexico,NM,Public,4 Year,7162,6206,13368,8128,15290
Eastern Oregon University,Oregon,OR,Public,4 Year,10040,8679,18719,20739,30779
Eastern University,Pennsylvania,PA,Private,4 Year,11254,33122,44376,33122,44376
Eastern Washington University,Washington,WA,Public,4 Year,12793,7323,20116,24444,37237
Eastman School of Music of the University of Rochester,New York,NY,Private,4 Year,15862,54584,70446,54584,70446
Ecclesia College,Arkansas,AR,Private,4 Year,5810,15140,20950,15140,20950
Eckerd College,Florida,FL,Private,4 Year,12588,44540,57128,44540,57128
Edgewood College,Wisconsin,WI,Private,4 Year,11020,29500,40520,29500,40520
Edinboro University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9408,10543,19951,15062,24470
Edward Waters College,Florida,FL,Private,4 Year,7282,13725,21007,13725,21007
Elizabeth City State University,North Carolina,NC,Public,4 Year,8840,3194,12034,7194,16034
Elizabethtown College,Pennsylvania,PA,Private,4 Year,11370,46940,58310,46940,58310
Elmhurst College,Illinois,IL,Private,4 Year,10366,37055,47421,37055,47421
Elmira College,New York,NY,Private,4 Year,12000,41900,53900,41900,53900
Elms College,Massachusetts,MA,Private,4 Year,13108,35788,48896,35788,48896
Elon University,North Carolina,NC,Private,4 Year,12230,35319,47549,35319,47549
Embry-Riddle Aeronautical University: Daytona Beach Campus,Florida,FL,Private,4 Year,11438,35814,47252,35814,47252
Embry-Riddle Aeronautical University: Prescott Campus,Arizona,AZ,Private,4 Year,11394,35654,47048,35654,47048
Emerson College,Massachusetts,MA,Private,4 Year,17690,46852,64542,46852,64542
Emmanuel College,Georgia,GA,Private,4 Year,8136,20292,28428,20292,28428
Emmanuel College,Massachusetts,MA,Private,4 Year,14994,39804,54798,39804,54798
Emmaus Bible College,Iowa,IA,Private,4 Year,8500,18400,26900,18400,26900
Emory & Henry College,Virginia,VA,Private,4 Year,12100,35135,47235,35135,47235
Emory University,Georgia,GA,Private,4 Year,14456,51306,65762,51306,65762
Emporia State University,Kansas,KS,Public,4 Year,8912,6758,15670,20675,29587
Endicott College,Massachusetts,MA,Private,4 Year,15726,33050,48776,33050,48776
Erskine College,South Carolina,SC,Private,4 Year,10900,34560,45460,34560,45460
Eugene Lang College The New School for Liberal Arts,New York,NY,Private,4 Year,18000,48191,66191,48191,66191
Eureka College,Illinois,IL,Private,4 Year,9620,25390,35010,25390,35010
Evangel University,Missouri,MO,Private,4 Year,8522,23296,31818,23296,31818
Evergreen State College,Washington,WA,Public,4 Year,11346,7949,19295,26459,37805
Fairfield University,Connecticut,CT,Private,4 Year,14710,48350,63060,48350,63060
Fairleigh Dickinson University: College at Florham,New Jersey,NJ,Private,4 Year,13392,42618,56010,42618,56010
Fairleigh Dickinson University: Metropolitan Campus,New Jersey,NJ,Private,4 Year,13348,40236,53584,40236,53584
Fairmont State University,West Virginia,WV,Public,4 Year,9004,7514,16518,16324,25328
Faith Baptist Bible College and Theological Seminary,Iowa,IA,Private,4 Year,6800,16876,23676,16876,23676
Family of Faith College,Oklahoma,OK,Private,4 Year,2400,6400,8800,6400,8800
Fashion Institute of Technology,New York,NY,Public,4 Year,14480,5740,20220,15520,30000
Faulkner University,Alabama,AL,Private,4 Year,7750,21690,29440,21690,29440
Fayetteville State University,North Carolina,NC,Public,4 Year,8236,4915,13151,16523,24759
Felician University,New Jersey,NJ,Private,4 Year,12880,34315,47195,34315,47195
Ferris State University,Michigan,MI,Public,4 Year,9894,12630,22524,12630,22524
Ferrum College,Virginia,VA,Private,4 Year,11500,34175,45675,34175,45675
Finlandia University,Michigan,MI,Private,4 Year,8800,22758,31558,22758,31558
Fisher College,Massachusetts,MA,Private,4 Year,15926,31384,47310,31384,47310
Fisk University,Tennessee,TN,Private,4 Year,10790,21480,32270,21480,32270
Fitchburg State University,Massachusetts,MA,Public,4 Year,10922,10355,21277,16435,27357
Five Towns College,New York,NY,For Profit,4 Year,12820,21640,34460,21640,34460
Flagler College,Florida,FL,Private,4 Year,11340,18950,30290,18950,30290
Florida Agricultural and Mechanical University,Florida,FL,Public,4 Year,10594,5827,16421,17768,28362
Florida Atlantic University,Florida,FL,Public,4 Year,11896,6039,17935,21595,33491
Florida College,Florida,FL,Private,4 Year,8370,17142,25512,17142,25512
Florida Gulf Coast University,Florida,FL,Public,4 Year,10156,6118,16274,25162,35318
Florida Institute of Technology,Florida,FL,Private,4 Year,12880,41850,54730,41850,54730
Florida International University,Florida,FL,Public,4 Year,10882,6558,17440,18956,29838
Florida Memorial University,Florida,FL,Private,4 Year,7816,15536,23352,15536,23352
Florida Southern College,Florida,FL,Private,4 Year,11650,36348,47998,36348,47998
Florida State University,Florida,FL,Public,4 Year,10816,6516,17332,21683,32499
Fontbonne University,Missouri,MO,Private,4 Year,10530,26340,36870,26340,36870
Fordham University,New York,NY,Private,4 Year,17969,52687,70656,52687,70656
Fort Hays State University,Kansas,KS,Public,4 Year,8300,5133,13433,15201,23501
Fort Lewis College,Colorado,CO,Public,4 Year,9878,9040,18918,19696,29574
Fort Valley State University,Georgia,GA,Public,4 Year,8372,6664,15036,19740,28112
Framingham State University,Massachusetts,MA,Public,4 Year,12306,10335,22641,16415,28721
Francis Marion University,South Carolina,SC,Public,4 Year,7948,11160,19108,21544,29492
Franciscan University of Steubenville,Ohio,OH,Private,4 Year,8500,27630,36130,27630,36130
Franklin & Marshall College,Pennsylvania,PA,Private,4 Year,14050,56750,70800,56750,70800
Franklin College,Indiana,IN,Private,4 Year,9946,32010,41956,32010,41956
Franklin Pierce University,New Hampshire,NH,Private,4 Year,13345,36900,50245,36900,50245
Franklin W. Olin College of Engineering,Massachusetts,MA,Private,4 Year,16300,53736,70036,53736,70036
Freed-Hardeman University,Tennessee,TN,Private,4 Year,8260,21950,30210,21950,30210
Fresno Pacific University,California,CA,Private,4 Year,8676,31452,40128,31452,40128
Friends University,Kansas,KS,Private,4 Year,7972,28415,36387,28415,36387
Frostburg State University,Maryland,MD,Public,4 Year,10202,9172,19374,22892,33094
Furman University,South Carolina,SC,Private,4 Year,12712,49532,62244,49532,62244
Gallaudet University,NA,DC,Private,4 Year,14100,17038,31138,17038,31138
Gannon University,Pennsylvania,PA,Private,4 Year,12650,32136,44786,32136,44786
Gardner-Webb University,North Carolina,NC,Private,4 Year,10390,31220,41610,31220,41610
Geneva College,Pennsylvania,PA,Private,4 Year,10170,26730,36900,26730,36900
George Fox University,Oregon,OR,Private,4 Year,11250,36020,47270,36020,47270
George Mason University,Virginia,VA,Public,4 Year,11460,12462,23922,35922,47382
George Washington University,NA,DC,Private,4 Year,13850,55230,69080,55230,69080
Georgetown College,Kentucky,KY,Private,4 Year,9780,38650,48430,38650,48430
Georgetown University,NA,DC,Private,4 Year,16509,54104,70613,54104,70613
Georgia College and State University,Georgia,GA,Public,4 Year,11016,9346,20362,28060,39076
Georgia Gwinnett College,Georgia,GA,Public,4 Year,12870,6124,18994,18552,31422
Georgia Institute of Technology,Georgia,GA,Public,4 Year,11884,12424,24308,33020,44904
Georgia Southern University,Georgia,GA,Public,4 Year,10070,7422,17492,20904,30974
Georgia Southwestern State University,Georgia,GA,Public,4 Year,8120,6336,14456,19412,27532
Georgia State University,Georgia,GA,Public,4 Year,11378,10858,22236,29432,40810
Georgian Court University,New Jersey,NJ,Private,4 Year,10808,32876,43684,32876,43684
Gettysburg College,Pennsylvania,PA,Private,4 Year,13010,54480,67490,54480,67490
Goddard College,Vermont,VT,Private,4 Year,1698,16586,18284,16586,18284
Goldey-Beacom College,Delaware,DE,Private,4 Year,6400,24300,30700,24300,30700
Gonzaga University,Washington,WA,Private,4 Year,11944,43210,55154,43210,55154
Gordon College,Massachusetts,MA,Private,4 Year,11070,37400,48470,37400,48470
Goshen College,Indiana,IN,Private,4 Year,10650,33700,44350,33700,44350
Goucher College,Maryland,MD,Private,4 Year,14506,44300,58806,44300,58806
Governors State University,Illinois,IL,Public,4 Year,10346,12196,22542,21586,31932
Grace Bible College,Michigan,MI,Private,4 Year,7700,19950,27650,19950,27650
Grace College,Indiana,IN,Private,4 Year,9134,24768,33902,24768,33902
Grace University,Nebraska,NE,Private,4 Year,6912,23030,29942,23030,29942
Graceland University,Iowa,IA,Private,4 Year,8760,29240,38000,29240,38000
Grambling State University,Louisiana,LA,Public,4 Year,7192,7435,14627,16458,23650
Grand Canyon University,Arizona,AZ,For Profit,4 Year,10100,27090,37190,27090,37190
Grand Valley State University,Michigan,MI,Public,4 Year,8690,12484,21174,17762,26452
Grand View University,Iowa,IA,Private,4 Year,9178,27608,36786,27608,36786
Great Basin College,Nevada,NV,Public,4 Year,3366,3128,6494,9542,12908
Great Lakes Christian College,Michigan,MI,Private,4 Year,8800,17220,26020,17220,26020
Green Mountain College,Vermont,VT,Private,4 Year,11722,37002,48724,37002,48724
Greensboro College,North Carolina,NC,Private,4 Year,10800,29140,39940,29140,39940
Greenville University,Illinois,IL,Private,4 Year,9048,27152,36200,27152,36200
Grinnell College,Iowa,IA,Private,4 Year,12810,52392,65202,52392,65202
Grove City College,Pennsylvania,PA,Private,4 Year,9770,17930,27700,17930,27700
Guilford College,North Carolina,NC,Private,4 Year,11200,38250,49450,38250,49450
Gustavus Adolphus College,Minnesota,MN,Private,4 Year,9910,45400,55310,45400,55310
Gutenberg College,Oregon,OR,Private,4 Year,5000,13650,18650,13650,18650
Gwynedd Mercy University,Pennsylvania,PA,Private,4 Year,12370,35600,47970,35600,47970
Hamilton College,New York,NY,Private,4 Year,13870,54620,68490,54620,68490
Hamline University,Minnesota,MN,Private,4 Year,10358,41298,51656,41298,51656
Hampden-Sydney College,Virginia,VA,Private,4 Year,13558,45746,59304,45746,59304
Hampshire College,Massachusetts,MA,Private,4 Year,13606,51668,65274,51668,65274
Hampton University,Virginia,VA,Private,4 Year,11778,26702,38480,26702,38480
Hannibal-LaGrange University,Missouri,MO,Private,4 Year,8108,22750,30858,22750,30858
Hanover College,Indiana,IN,Private,4 Year,11580,37670,49250,37670,49250
Hardin-Simmons University,Texas,TX,Private,4 Year,8080,28990,37070,28990,37070
Harding University,Arkansas,AR,Private,4 Year,7044,20135,27179,20135,27179
Harris-Stowe State University,Missouri,MO,Public,4 Year,9250,5340,14590,9973,19223
Harrisburg University of Science and Technology,Pennsylvania,PA,Private,4 Year,6800,23900,30700,23900,30700
Hartwick College,New York,NY,Private,4 Year,12460,45510,57970,45510,57970
Harvard College,Massachusetts,MA,Private,4 Year,17160,50420,67580,50420,67580
Harvey Mudd College,California,CA,Private,4 Year,18127,56876,75003,56876,75003
Haskell Indian Nations University,Kansas,KS,Public,4 Year,950,480,1430,480,1430
Hastings College,Nebraska,NE,Private,4 Year,9700,30050,39750,30050,39750
Haverford College,Pennsylvania,PA,Private,4 Year,16402,54592,70994,54592,70994
Hawaii Pacific University,Hawaii,HI,Private,4 Year,14800,25980,40780,25980,40780
Hebrew Theological College,Illinois,IL,Private,4 Year,12380,12920,25300,12920,25300
Heidelberg University,Ohio,OH,Private,4 Year,10400,31000,41400,31000,41400
Hellenic College/Holy Cross,Massachusetts,MA,Private,4 Year,16192,22490,38682,22490,38682
Henderson State University,Arkansas,AR,Public,4 Year,7504,8436,15940,10086,17590
Hendrix College,Arkansas,AR,Private,4 Year,12284,45790,58074,45790,58074
Heritage Christian University,Alabama,AL,Private,4 Year,5745,12312,18057,12312,18057
High Point University,North Carolina,NC,Private,4 Year,14130,35118,49248,35118,49248
Hilbert College,New York,NY,Private,4 Year,9350,22400,31750,22400,31750
Hillsdale College,Michigan,MI,Private,4 Year,11000,27577,38577,27577,38577
Hiram College,Ohio,OH,Private,4 Year,10290,34300,44590,34300,44590
Hobart and William Smith Colleges,New York,NY,Private,4 Year,14785,55255,70040,55255,70040
Hobe Sound Bible College,Florida,FL,Private,4 Year,6170,6490,12660,6490,12660
Hofstra University,New York,NY,Private,4 Year,15948,46760,62708,46760,62708
Hollins University,Virginia,VA,Private,4 Year,13520,39035,52555,39035,52555
Holy Cross College,Indiana,IN,Private,4 Year,11500,30820,42320,30820,42320
Holy Family University,Pennsylvania,PA,Private,4 Year,13576,30346,43922,30346,43922
Holy Names University,California,CA,Private,4 Year,13190,39316,52506,39316,52506
Holy Trinity Orthodox Seminary,New York,NY,Private,4 Year,5290,7700,12990,7700,12990
Hood College,Maryland,MD,Private,4 Year,12700,39492,52192,39492,52192
Hope College,Michigan,MI,Private,4 Year,10310,34010,44320,34010,44320
Hope International University,California,CA,Private,4 Year,10490,33400,43890,33400,43890
Houghton College,New York,NY,Private,4 Year,9288,32488,41776,32488,41776
Houston Baptist University,Texas,TX,Private,4 Year,8814,32530,41344,32530,41344
Howard Payne University,Texas,TX,Private,4 Year,8386,28090,36476,28090,36476
Howard University,NA,DC,Private,4 Year,13895,27056,40951,27056,40951
Hult International Business School,California,CA,Private,4 Year,15000,40650,55650,40650,55650
Humboldt State University,California,CA,Public,4 Year,12870,7676,20546,19556,32426
Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150
Huntington University,Indiana,IN,Private,4 Year,8668,26180,34848,26180,34848
Husson University,Maine,ME,Private,4 Year,9830,18180,28010,18180,28010
Huston-Tillotson University,Texas,TX,Private,4 Year,7568,14346,21914,14346,21914
Idaho State University,Idaho,ID,Public,4 Year,7207,7420,14627,22940,30147
Illinois College,Illinois,IL,Private,4 Year,9280,33090,42370,33090,42370
Illinois Institute of Technology,Illinois,IL,Private,4 Year,12762,47296,60058,47296,60058
Illinois State University,Illinois,IL,Public,4 Year,9850,14516,24366,26040,35890
Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984,47636,58620,47636,58620
Immaculata University,Pennsylvania,PA,Private,4 Year,12620,27350,39970,27350,39970
Indiana Institute of Technology,Indiana,IN,Private,4 Year,10020,26900,36920,26900,36920
Indiana State University,Indiana,IN,Public,4 Year,10590,9090,19680,19836,30426
Indiana University Bloomington,Indiana,IN,Public,4 Year,10465,10681,21146,35456,45921
Indiana University of Pennsylvania,Pennsylvania,PA,Public,4 Year,12592,12979,25571,17299,29891
Indiana University South Bend,Indiana,IN,Public,4 Year,7309,7344,14653,19400,26709
Indiana University Southeast,Indiana,IN,Public,4 Year,6780,7344,14124,19400,26180
Indiana University-Purdue University Fort Wayne,Indiana,IN,Public,4 Year,5996,8450,14446,20288,26284
Indiana University-Purdue University Indianapolis,Indiana,IN,Public,4 Year,8924,9465,18389,29821,38745
Indiana Wesleyan University,Indiana,IN,Private,4 Year,8312,25980,34292,25980,34292
Institute of American Indian Arts,New Mexico,NM,Public,4 Year,9604,4980,14584,4980,14584
Inter American University of Puerto Rico: Bayamon Campus,NA,PR,Private,4 Year,7993,5898,13891,5898,13891
Inter American University of Puerto Rico: San German Campus,NA,PR,Private,4 Year,3900,5976,9876,5976,9876
International Baptist College,Arizona,AZ,Private,4 Year,6200,11250,17450,11250,17450
Iona College,New York,NY,Private,4 Year,15278,38812,54090,38812,54090
Iowa State University,Iowa,IA,Public,4 Year,8720,8988,17708,23392,32112
Iowa Wesleyan College,Iowa,IA,Private,4 Year,10500,30500,41000,30500,41000
Ithaca College,New York,NY,Private,4 Year,15562,43978,59540,43978,59540
Jackson State University,Mississippi,MS,Public,4 Year,9552,8226,17778,19454,29006
Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245
Jacksonville University,Florida,FL,Private,4 Year,14080,36670,50750,36670,50750
James Madison University,Virginia,VA,Public,4 Year,10092,12016,22108,28416,38508
Jarvis Christian College,Texas,TX,Private,4 Year,8440,11720,20160,11720,20160
Jefferson College of Health Sciences,Virginia,VA,Private,4 Year,5870,26886,32756,26886,32756
Jewish Theological Seminary of America,New York,NY,Private,4 Year,12570,51326,63896,51326,63896
John Brown University,Arkansas,AR,Private,4 Year,9224,26928,36152,26928,36152
John Carroll University,Ohio,OH,Private,4 Year,11874,41340,53214,41340,53214
John Paul the Great Catholic University,California,CA,Private,4 Year,7650,26100,33750,26100,33750
John Wesley University,North Carolina,NC,Private,4 Year,3600,13330,16930,13330,16930
Johns Hopkins University,Maryland,MD,Private,4 Year,15836,54240,70076,54240,70076
Johns Hopkins University: Peabody Conservatory of Music,Maryland,MD,Private,4 Year,15838,50180,66018,50180,66018
Johnson & Wales University: Charlotte,North Carolina,NC,Private,4 Year,14148,32091,46239,32091,46239
Johnson & Wales University: Denver,Colorado,CO,Private,4 Year,12546,32091,44637,32091,44637
Johnson & Wales University: North Miami,Florida,FL,Private,4 Year,12564,32091,44655,32091,44655
Johnson & Wales University: Providence,Rhode Island,RI,Private,4 Year,14337,32091,46428,32091,46428
Johnson C. Smith University,North Carolina,NC,Private,4 Year,7100,18236,25336,18236,25336
Johnson University,Tennessee,TN,Private,4 Year,6700,16060,22760,16060,22760
Johnson University: Florida,Florida,FL,Private,4 Year,7040,16060,23100,16060,23100
Judson College,Alabama,AL,Private,4 Year,10590,18510,29100,18510,29100
Judson University,Illinois,IL,Private,4 Year,9988,29860,39848,29860,39848
Juilliard School,New York,NY,Private,4 Year,16950,45360,62310,45360,62310
Juniata College,Pennsylvania,PA,Private,4 Year,12521,45597,58118,45597,58118
Kalamazoo College,Michigan,MI,Private,4 Year,9756,48516,58272,48516,58272
Kansas City Art Institute,Missouri,MO,Private,4 Year,10400,38400,48800,38400,48800
Kansas State University,Kansas,KS,Public,4 Year,9680,10263,19943,25767,35447
Kansas Wesleyan University,Kansas,KS,Private,4 Year,9500,29500,39000,29500,39000
Kean University,New Jersey,NJ,Public,4 Year,14470,12348,26818,19383,33853
Keene State College,New Hampshire,NH,Public,4 Year,11026,14212,25238,23176,34202
Kehilath Yakov Rabbinical Seminary,New York,NY,Private,4 Year,2800,9700,12500,9700,12500
Kennesaw State University,Georgia,GA,Public,4 Year,11467,7432,18899,21158,32625
Kent State University,Ohio,OH,Public,4 Year,11362,10012,21374,18714,30076
Kentucky Christian University,Kentucky,KY,Private,4 Year,8270,19820,28090,19820,28090
Kentucky Mountain Bible College,Kentucky,KY,Private,4 Year,5050,9460,14510,9460,14510
Kentucky State University,Kentucky,KY,Public,4 Year,6690,8090,14780,19390,26080
Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,9764,26440,36204,26440,36204
Kenyon College,Ohio,OH,Private,4 Year,12510,55930,68440,55930,68440
Kettering College,Ohio,OH,Private,4 Year,4100,16200,20300,16200,20300
Kettering University,Michigan,MI,Private,4 Year,8240,43490,51730,43490,51730
Keuka College,New York,NY,Private,4 Year,11906,32093,43999,32093,43999
Keystone College,Pennsylvania,PA,Private,4 Year,11900,26920,38820,26920,38820
King University,Tennessee,TN,Private,4 Year,8762,29714,38476,29714,38476
King's College,Pennsylvania,PA,Private,4 Year,12940,37226,50166,37226,50166
Knox College,Illinois,IL,Private,4 Year,9870,46554,56424,46554,56424
Kutztown University of Pennsylvania,Pennsylvania,PA,Public,4 Year,10334,10802,21136,14660,24994
Kuyper College,Michigan,MI,Private,4 Year,7285,21989,29274,21989,29274
La Roche College,Pennsylvania,PA,Private,4 Year,11556,28564,40120,28564,40120
La Salle University,Pennsylvania,PA,Private,4 Year,15080,30560,45640,30560,45640
La Sierra University,California,CA,Private,4 Year,8415,32778,41193,32778,41193
Lafayette College,Pennsylvania,PA,Private,4 Year,15640,52880,68520,52880,68520
LaGrange College,Georgia,GA,Private,4 Year,11630,30470,42100,30470,42100
Laguna College of Art and Design,California,CA,Private,4 Year,10000,30700,40700,30700,40700
Lake Erie College,Ohio,OH,Private,4 Year,9908,31422,41330,31422,41330
Lake Forest College,Illinois,IL,Private,4 Year,10390,47064,57454,47064,57454
Lake Superior State University,Michigan,MI,Public,4 Year,9882,12090,21972,12090,21972
Lakeland University,Wisconsin,WI,Private,4 Year,9234,28870,38104,28870,38104
Lamar University,Texas,TX,Public,4 Year,8920,10192,19112,22642,31562
Lancaster Bible College,Pennsylvania,PA,Private,4 Year,8750,25270,34020,25270,34020
Lander University,South Carolina,SC,Public,4 Year,9100,11700,20800,21300,30400
Lane College,Tennessee,TN,Private,4 Year,7270,10690,17960,10690,17960
Langston University,Oklahoma,OK,Public,4 Year,9476,5950,15426,13300,22776
Lasell College,Massachusetts,MA,Private,4 Year,15400,36000,51400,36000,51400
Lawrence Technological University,Michigan,MI,Private,4 Year,9950,33570,43520,33570,43520
Lawrence University,Wisconsin,WI,Private,4 Year,10341,47475,57816,47475,57816
Le Moyne College,New York,NY,Private,4 Year,13780,34625,48405,34625,48405
Lebanon Valley College,Pennsylvania,PA,Private,4 Year,11860,43650,55510,43650,55510
Lee University,Tennessee,TN,Private,4 Year,7410,17690,25100,17690,25100
Lees-McRae College,North Carolina,NC,Private,4 Year,11078,26198,37276,26198,37276
Lehigh University,Pennsylvania,PA,Private,4 Year,13600,52930,66530,52930,66530
LeMoyne-Owen College,Tennessee,TN,Private,4 Year,6100,11196,17296,11196,17296
Lenoir-Rhyne University,North Carolina,NC,Private,4 Year,12510,36400,48910,36400,48910
Lesley University,Massachusetts,MA,Private,4 Year,16230,28770,45000,28770,45000
LeTourneau University,Texas,TX,Private,4 Year,9970,30210,40180,30210,40180
Lewis & Clark College,Oregon,OR,Private,4 Year,12490,50934,63424,50934,63424
Lewis University,Illinois,IL,Private,4 Year,10578,32450,43028,32450,43028
Lewis-Clark State College,Idaho,ID,Public,4 Year,7580,6618,14198,19236,26816
Liberty University,Virginia,VA,Private,4 Year,10478,25276,35754,25276,35754
Life Pacific College,California,CA,Private,4 Year,8390,15804,24194,15804,24194
Life University,Georgia,GA,Private,4 Year,14400,13194,27594,13194,27594
LIM College,New York,NY,For Profit,4 Year,20350,27030,47380,27030,47380
Limestone College,South Carolina,SC,Private,4 Year,9765,26000,35765,26000,35765
Lincoln Christian University,Illinois,IL,Private,4 Year,7564,13200,20764,13200,20764
Lincoln Memorial University,Tennessee,TN,Private,4 Year,8000,22010,30010,22010,30010
Lincoln University,Pennsylvania,PA,Public,4 Year,9588,11666,21254,16802,26390
Lincoln University,Missouri,MO,Public,4 Year,7068,7632,14700,14172,21240
Lindenwood University,Missouri,MO,Private,4 Year,9000,17600,26600,17600,26600
Lindsey Wilson College,Kentucky,KY,Private,4 Year,9385,24850,34235,24850,34235
Linfield College,Oregon,OR,Private,4 Year,12420,43232,55652,43232,55652
Lipscomb University,Tennessee,TN,Private,4 Year,12652,32144,44796,32144,44796
LIU Brooklyn,New York,NY,Private,4 Year,14020,37715,51735,37715,51735
LIU Post,New York,NY,Private,4 Year,14020,37715,51735,37715,51735
Livingstone College,North Carolina,NC,Private,4 Year,6794,18297,25091,18297,25091
Lock Haven University of Pennsylvania,Pennsylvania,PA,Public,4 Year,10368,10878,21246,20452,30820
Loma Linda University,California,CA,Private,4 Year,11655,35192,46847,35192,46847
Longwood University,Virginia,VA,Public,4 Year,11746,13340,25086,29300,41046
Loras College,Iowa,IA,Private,4 Year,8275,34184,42459,34184,42459
Louisiana College,Louisiana,LA,Private,4 Year,5618,17000,22618,17000,22618
Louisiana State University and Agricultural and Mechanical College,Louisiana,LA,Public,4 Year,11830,11950,23780,28627,40457
Louisiana State University Health Sciences Center New Orleans,Louisiana,LA,Public,4 Year,5650,6923,12573,13705,19355
Louisiana Tech University,Louisiana,LA,Public,4 Year,6495,9645,16140,18558,25053
Lourdes University,Ohio,OH,Private,4 Year,10100,22480,32580,22480,32580
Loyola Marymount University,California,CA,Private,4 Year,14490,48522,63012,48522,63012
Loyola University Chicago,Illinois,IL,Private,4 Year,14480,44048,58528,44048,58528
Loyola University Maryland,Maryland,MD,Private,4 Year,14430,49085,63515,49085,63515
Loyola University New Orleans,Louisiana,LA,Private,4 Year,13380,39692,53072,39692,53072
Lubbock Christian University,Texas,TX,Private,4 Year,7702,22440,30142,22440,30142
Luther College,Iowa,IA,Private,4 Year,9460,42290,51750,42290,51750
Lycoming College,Pennsylvania,PA,Private,4 Year,12568,40315,52883,40315,52883
Lyndon State College,Vermont,VT,Public,4 Year,10598,12074,22672,25394,35992
Lynn University,Florida,FL,Private,4 Year,12170,38210,50380,38210,50380
Lyon College,Arkansas,AR,Private,4 Year,9130,28790,37920,28790,37920
Macalester College,Minnesota,MN,Private,4 Year,12156,54344,66500,54344,66500
MacMurray College,Illinois,IL,Private,4 Year,9440,27690,37130,27690,37130
Madonna University,Michigan,MI,Private,4 Year,9950,21900,31850,21900,31850
Maharishi University of Management,Iowa,IA,Private,4 Year,7400,16530,23930,16530,23930
Maine College of Art,Maine,ME,Private,4 Year,11890,35000,46890,35000,46890
Maine Maritime Academy,Maine,ME,Public,4 Year,10310,13478,23788,27098,37408
Malone University,Ohio,OH,Private,4 Year,9500,30860,40360,30860,40360
Manchester University,Indiana,IN,Private,4 Year,9580,32758,42338,32758,42338
Manhattan Christian College,Kansas,KS,Private,4 Year,9092,15850,24942,15850,24942
Manhattan College,New York,NY,Private,4 Year,16200,43480,59680,43480,59680
Manhattan School of Music,New York,NY,Private,4 Year,13135,47300,60435,47300,60435
Manhattanville College,New York,NY,Private,4 Year,14520,38820,53340,38820,53340
Mansfield University of Pennsylvania,Pennsylvania,PA,Public,4 Year,11928,12330,24258,21780,33708
Maranatha Baptist University,Wisconsin,WI,Private,4 Year,7100,15410,22510,15410,22510
Marian University,Wisconsin,WI,Private,4 Year,7222,27400,34622,27400,34622
Marian University,Indiana,IN,Private,4 Year,10640,34000,44640,34000,44640
Marietta College,Ohio,OH,Private,4 Year,11320,36040,47360,36040,47360
Marist College,New York,NY,Private,4 Year,15550,39600,55150,39600,55150
Marlboro College,Vermont,VT,Private,4 Year,12285,40840,53125,40840,53125
Marquette University,Wisconsin,WI,Private,4 Year,12720,41870,54590,41870,54590
Mars Hill University,North Carolina,NC,Private,4 Year,9592,32968,42560,32968,42560
Marshall University,West Virginia,WV,Public,4 Year,10450,8128,18578,18614,29064
Martin Luther College,Minnesota,MN,Private,4 Year,6080,15410,21490,15410,21490
Martin Methodist College,Tennessee,TN,Private,4 Year,8400,24246,32646,24246,32646
Martin University,Indiana,IN,Private,4 Year,7810,16500,24310,16500,24310
